"","DGE_foureight_ue...2.","Freq"
"1","dorsalstriatum",1
"2","frontalcortex",1
"3","heart",1
"4","pituitary",1
"5","spleen",1
"6","stomach",1
"7","tongueepidermis",1
"8","trachea",1
"9","embryoday6.5",2
"10","hippocampus",2
"11","mammarygland(lact)",2
"12","retina",2
"13","salivarygland",2
"14","thyroid",2
"15","trigeminal",2
"16","ovary",3
"17","preoptic",3
"18","vomeralnasalorgan(VMO)",3
"19","olfactorybulb",4
"20","blastocysts",5
"21","cortex",5
"22","lung",5
"23","placenta",5
"24","amygdala",6
"25","bone",6
"26","cd4+Tcell",6
"27","spinalcordlower",6
"28","b220+bcell",7
"29","snoutepidermis",7
"30","skeletalmuscle",8
"31","adiposetissue",9
"32","adrenalgland",9
"33","largeintestine",10
"34","smallintestine",10
"35","substantianigra",11
"36","bonemarrow",12
"37","digits",12
"38","cerebellum",14
"39","umbilicalcord",14
"40","medialolfactoryepithelium(MOE)",15
"41","prostate",23
"42","liver",25
"43","kidney",27
"44","dorsalrootganglion",31
"45","thymus",32
"46","fertilizedegg",71
"47","testis",119
"48","oocyte",456
