"","two - one","four - two","eight - four","morula - eight","blastocyst - morula"
"ENSMUST00000000003",0,0,0,0,-1
"ENSMUST00000000033",0,0,0,0,0
"ENSMUST00000000049",0,0,0,0,0
"ENSMUST00000000080",0,0,0,1,0
"ENSMUST00000000090",0,0,0,0,0
"ENSMUST00000000096",-1,0,0,0,0
"ENSMUST00000000109",-1,0,0,0,0
"ENSMUST00000000122",0,0,0,0,0
"ENSMUST00000000145",0,0,0,1,0
"ENSMUST00000000161",0,0,0,0,0
"ENSMUST00000000208",0,0,0,1,0
"ENSMUST00000000219",0,-1,0,0,0
"ENSMUST00000000220",0,0,0,0,0
"ENSMUST00000000221",0,0,0,0,0
"ENSMUST00000000253",0,-1,0,0,0
"ENSMUST00000000260",-1,0,0,0,0
"ENSMUST00000000284",1,0,0,0,0
"ENSMUST00000000287",0,0,0,0,0
"ENSMUST00000000299",0,0,0,0,0
"ENSMUST00000000310",0,1,0,-1,0
"ENSMUST00000000317",0,1,1,0,0
"ENSMUST00000000342",0,0,0,1,0
"ENSMUST00000000384",0,0,-1,0,0
"ENSMUST00000000395",0,0,0,1,0
"ENSMUST00000000402",0,0,0,0,0
"ENSMUST00000000421",0,0,0,0,0
"ENSMUST00000000450",-1,0,0,0,0
"ENSMUST00000000466",0,0,0,0,0
"ENSMUST00000000573",0,0,0,0,0
"ENSMUST00000000590",-1,0,-1,1,0
"ENSMUST00000000608",0,0,0,0,0
"ENSMUST00000000642",0,0,1,1,0
"ENSMUST00000000646",0,0,0,0,0
"ENSMUST00000000687",0,0,0,0,0
"ENSMUST00000000718",-1,-1,0,0,0
"ENSMUST00000000746",0,-1,1,0,0
"ENSMUST00000000804",-1,1,0,-1,0
"ENSMUST00000000828",-1,0,0,0,0
"ENSMUST00000000894",0,-1,-1,0,0
"ENSMUST00000000910",1,0,-1,0,0
"ENSMUST00000000984",0,0,1,0,0
"ENSMUST00000001046",0,0,0,0,0
"ENSMUST00000001047",0,0,0,0,0
"ENSMUST00000001049",0,0,0,0,0
"ENSMUST00000001055",0,0,0,0,0
"ENSMUST00000001083",1,0,1,-1,0
"ENSMUST00000001122",1,0,1,-1,0
"ENSMUST00000001126",0,0,1,-1,0
"ENSMUST00000001147",0,0,0,0,0
"ENSMUST00000001148",0,-1,0,-1,0
"ENSMUST00000001183",0,0,0,0,0
"ENSMUST00000001187",-1,0,1,0,0
"ENSMUST00000001204",0,0,0,0,0
"ENSMUST00000001242",0,0,0,0,0
"ENSMUST00000001253",0,0,0,0,0
"ENSMUST00000001254",0,0,0,0,0
"ENSMUST00000001452",0,0,0,0,0
"ENSMUST00000001497",0,0,0,0,0
"ENSMUST00000001513",-1,0,0,0,0
"ENSMUST00000001562",0,0,-1,0,0
"ENSMUST00000001565",1,1,0,-1,0
"ENSMUST00000001599",1,1,-1,-1,1
"ENSMUST00000001713",0,0,0,0,0
"ENSMUST00000001715",0,0,0,0,0
"ENSMUST00000001716",0,0,1,0,1
"ENSMUST00000001720",0,0,0,0,0
"ENSMUST00000001790",-1,0,0,0,0
"ENSMUST00000001806",-1,0,0,0,0
"ENSMUST00000001927",0,0,0,1,-1
"ENSMUST00000001963",0,0,0,0,0
"ENSMUST00000002008",0,0,0,0,0
"ENSMUST00000002013",-1,0,0,0,0
"ENSMUST00000002087",0,0,0,0,0
"ENSMUST00000002090",0,1,1,-1,1
"ENSMUST00000002101",0,0,0,0,0
"ENSMUST00000002127",0,0,0,0,0
"ENSMUST00000002171",0,1,1,-1,0
"ENSMUST00000002259",0,0,0,0,0
"ENSMUST00000002274",0,-1,0,0,0
"ENSMUST00000002292",0,0,-1,-1,1
"ENSMUST00000002368",0,0,-1,0,0
"ENSMUST00000002389",0,0,0,0,0
"ENSMUST00000002444",0,0,0,0,0
"ENSMUST00000002456",0,0,0,0,0
"ENSMUST00000002529",-1,0,0,0,0
"ENSMUST00000002551",-1,0,1,0,0
"ENSMUST00000002588",-1,0,-1,0,0
"ENSMUST00000002640",-1,-1,0,0,0
"ENSMUST00000002663",0,0,0,0,0
"ENSMUST00000002677",0,0,0,0,0
"ENSMUST00000002678",0,0,0,0,0
"ENSMUST00000002708",0,0,0,0,0
"ENSMUST00000002710",-1,0,0,-1,0
"ENSMUST00000002756",0,1,0,0,0
"ENSMUST00000002845",0,0,0,0,0
"ENSMUST00000002846",0,0,0,0,0
"ENSMUST00000002883",0,0,0,0,0
"ENSMUST00000002885",0,0,0,0,0
"ENSMUST00000002908",0,0,0,0,0
"ENSMUST00000002964",0,0,0,0,0
"ENSMUST00000002979",-1,0,0,1,0
"ENSMUST00000003066",0,0,0,0,1
"ENSMUST00000003071",0,0,0,0,0
"ENSMUST00000003074",1,0,0,0,0
"ENSMUST00000003135",0,0,1,0,0
"ENSMUST00000003137",0,0,0,0,0
"ENSMUST00000003207",0,0,0,1,0
"ENSMUST00000003245",0,0,0,1,1
"ENSMUST00000003351",1,0,0,0,0
"ENSMUST00000003360",0,0,0,0,0
"ENSMUST00000003370",0,0,0,0,0
"ENSMUST00000003433",1,0,-1,0,0
"ENSMUST00000003442",0,-1,0,0,0
"ENSMUST00000003459",1,0,0,0,0
"ENSMUST00000003461",0,0,0,0,0
"ENSMUST00000003512",0,0,0,-1,0
"ENSMUST00000003554",0,0,0,0,0
"ENSMUST00000003569",0,0,0,0,0
"ENSMUST00000003572",-1,1,0,0,0
"ENSMUST00000003575",-1,0,1,1,0
"ENSMUST00000003597",0,0,0,0,0
"ENSMUST00000003635",0,0,0,0,0
"ENSMUST00000003659",-1,0,0,0,0
"ENSMUST00000003720",0,0,0,1,0
"ENSMUST00000003754",0,0,0,0,0
"ENSMUST00000003907",0,0,0,0,0
"ENSMUST00000003922",0,-1,0,-1,0
"ENSMUST00000003947",0,0,0,0,0
"ENSMUST00000004036",0,0,0,0,0
"ENSMUST00000004050",-1,0,0,0,0
"ENSMUST00000004057",-1,0,0,0,1
"ENSMUST00000004134",-1,-1,0,0,0
