"","four to eight","max.tissue"
"ENSMUST00000000317","1","smallintestine"
"ENSMUST00000000642","1","blastocysts"
"ENSMUST00000000746","1","blastocysts"
"ENSMUST00000000984","1","smallintestine"
"ENSMUST00000001083","1","embryoday6.5"
"ENSMUST00000001122","1","smallintestine"
"ENSMUST00000001126","1","smallintestine"
"ENSMUST00000001187","1","smallintestine"
"ENSMUST00000001716","1","liver"
"ENSMUST00000002090","1","prostate"
"ENSMUST00000002171","1","testis"
"ENSMUST00000002551","1","oocyte"
"ENSMUST00000003135","1","blastocysts"
"ENSMUST00000003575","1","umbilicalcord"
"ENSMUST00000004316","1","blastocysts"
"ENSMUST00000004377","1","b220+bcell"
"ENSMUST00000004378","1","preoptic"
"ENSMUST00000004729","1","brownfat"
"ENSMUST00000005185","1","snoutepidermis"
"ENSMUST00000005705","1","testis"
"ENSMUST00000006462","1","testis"
"ENSMUST00000006508","1","kidney"
"ENSMUST00000006679","1","bone"
"ENSMUST00000006838","1","blastocysts"
"ENSMUST00000007131","1","adrenalgland"
"ENSMUST00000009058","1","adrenalgland"
"ENSMUST00000009728","1","blastocysts"
"ENSMUST00000010007","1","heart"
"ENSMUST00000010795","1","liver"
"ENSMUST00000010974","1","umbilicalcord"
"ENSMUST00000012028","1","digits"
"ENSMUST00000014457","1","bladder"
"ENSMUST00000015858","1","blastocysts"
"ENSMUST00000015941","1","liver"
"ENSMUST00000016144","1","adrenalgland"
"ENSMUST00000016309","1","fertilizedegg"
"ENSMUST00000016396","1","heart"
"ENSMUST00000017604","1","b220+bcell"
"ENSMUST00000018113","1","lung"
"ENSMUST00000018470","1","fertilizedegg"
"ENSMUST00000018561","1","lung"
"ENSMUST00000018713","1","largeintestine"
"ENSMUST00000018718","1","brownfat"
"ENSMUST00000018748","1","adrenalgland"
"ENSMUST00000018821","1","testis"
"ENSMUST00000018965","1","digits"
"ENSMUST00000019076","1","snoutepidermis"
"ENSMUST00000019283","1","testis"
"ENSMUST00000019445","1","ovary"
"ENSMUST00000020022","1","kidney"
"ENSMUST00000020081","1","preoptic"
"ENSMUST00000020361","1","heart"
"ENSMUST00000020365","1","testis"
"ENSMUST00000020403","1","umbilicalcord"
"ENSMUST00000020446","1","kidney"
"ENSMUST00000020576","1","skeletalmuscle"
"ENSMUST00000020653","1","skeletalmuscle"
