"","four to eight","max.tissue"
"ENSMUST00000000384","-1","fertilizedegg"
"ENSMUST00000000590","-1","oocyte"
"ENSMUST00000000894","-1","fertilizedegg"
"ENSMUST00000000910","-1","adrenalgland"
"ENSMUST00000001562","-1","oocyte"
"ENSMUST00000001599","-1","testis"
"ENSMUST00000002292","-1","thymus"
"ENSMUST00000002368","-1","oocyte"
"ENSMUST00000002588","-1","oocyte"
"ENSMUST00000003433","-1","adiposetissue"
"ENSMUST00000004172","-1","testis"
"ENSMUST00000004203","-1","fertilizedegg"
"ENSMUST00000005072","-1","oocyte"
"ENSMUST00000005073","-1","oocyte"
"ENSMUST00000005233","-1","oocyte"
"ENSMUST00000005815","-1","oocyte"
"ENSMUST00000005964","-1","oocyte"
"ENSMUST00000006101","-1","testis"
"ENSMUST00000006171","-1","digits"
"ENSMUST00000006898","-1","fertilizedegg"
"ENSMUST00000006900","-1","heart"
"ENSMUST00000008537","-1","oocyte"
"ENSMUST00000008573","-1","oocyte"
"ENSMUST00000008633","-1","dorsalrootganglion"
"ENSMUST00000009885","-1","fertilizedegg"
"ENSMUST00000013949","-1","oocyte"
"ENSMUST00000014421","-1","oocyte"
"ENSMUST00000014545","-1","testis"
"ENSMUST00000015545","-1","kidney"
"ENSMUST00000015866","-1","oocyte"
"ENSMUST00000016678","-1","kidney"
"ENSMUST00000017692","-1","oocyte"
"ENSMUST00000017859","-1","oocyte"
"ENSMUST00000018122","-1","cerebellum"
"ENSMUST00000018186","-1","smallintestine"
"ENSMUST00000018382","-1","oocyte"
"ENSMUST00000019101","-1","oocyte"
"ENSMUST00000019441","-1","testis"
"ENSMUST00000019929","-1","oocyte"
"ENSMUST00000019945","-1","oocyte"
"ENSMUST00000019975","-1","hippocampus"
"ENSMUST00000020163","-1","oocyte"
"ENSMUST00000020227","-1","oocyte"
"ENSMUST00000020273","-1","oocyte"
"ENSMUST00000020452","-1","oocyte"
"ENSMUST00000020488","-1","oocyte"
"ENSMUST00000020657","-1","skeletalmuscle"
"ENSMUST00000020687","-1","fertilizedegg"
"ENSMUST00000020775","-1","substantianigra"
"ENSMUST00000020822","-1","oocyte"
"ENSMUST00000020826","-1","oocyte"
"ENSMUST00000020884","-1","prostate"
"ENSMUST00000020926","-1","snoutepidermis"
"ENSMUST00000020964","-1","dorsalrootganglion"
"ENSMUST00000021157","-1","fertilizedegg"
"ENSMUST00000021468","-1","oocyte"
"ENSMUST00000021550","-1","smallintestine"
"ENSMUST00000021607","-1","kidney"
"ENSMUST00000021810","-1","medialolfactoryepithelium(MOE)"
"ENSMUST00000022028","-1","testis"
"ENSMUST00000022459","-1","testis"
"ENSMUST00000022496","-1","fertilizedegg"
"ENSMUST00000022535","-1","oocyte"
"ENSMUST00000022548","-1","testis"
"ENSMUST00000022563","-1","dorsalrootganglion"
"ENSMUST00000022567","-1","dorsalstriatum"
"ENSMUST00000022701","-1","fertilizedegg"
"ENSMUST00000022705","-1","oocyte"
"ENSMUST00000022727","-1","fertilizedegg"
"ENSMUST00000022784","-1","oocyte"
"ENSMUST00000022867","-1","oocyte"
"ENSMUST00000022890","-1","testis"
"ENSMUST00000022927","-1","thymus"
"ENSMUST00000023069","-1","oocyte"
