gene.symbol in Mouse Data;TRA_new.gene.symbol
Pbsn;Pbsn
Igf2;Igf2
Apoh;Apoh
Klf6;Klf6
Cox5a;Cox5a
Tbx4;Tbx4
Cntn1;Cntn1
Ngfr;Ngfr
Acsl6;Acsl6
Itgb2l;Itgb2l
Slfn4;Slfn4
Th;Th
Ins2;Ins2
Scnn1g;Scnn1g
Lhx2;Lhx2
Gmpr;Gmpr
Trim25;Trim25
Scpep1;Scpep1
Itgb2;Itgb2
Pemt;Pemt
Ckmt1;Ckmt1
Ccl11;Ccl11
Trappc10;Trappc10
Tmprss2;Tmprss2
Fap;Fap
Tssk3;Tssk3
Pparg;Pparg
Plin2;Plin2
Ovgp1;Ovgp1
Rdx;Rdx
Gm2a;Gm2a
Hk2;Hk2
Sez6;Sez6
Haao;Haao
Tcl1b4;Tcl1b4
Dnmt3l;Dnmt3l
Ddx3x;Ddx3x
Txnrd3;Txnrd3
E2f1;E2f1
Dbh;Dbh
Slc7a7;Slc7a7
S100a4;S100a4
S100a3;S100a3
S100a5;S100a5
Icam2;Icam2
Nhp2;Nhp2
Slc13a2;Slc13a2
Slc46a1;Slc46a1
Col6a1;Col6a1
Pcbp3;Pcbp3
Ftcd;Ftcd
Anxa4;Anxa4
Calm1;Calm1
D10Jhu81e;D10Jhu81e
Slc26a4;Slc26a4
Slc26a3;Slc26a3
Cct3;Cct3
Cideb;Cideb
Tubb6;Tubb6
Tulp3;Tulp3
Gtf2h4;Gtf2h4
Klhl10;Klhl10
Gstt1;Gstt1
Gstt3;Gstt3
Ddt;Ddt
Tat;Tat
Cldn15;Cldn15
Coasy;Coasy
Ltbp1;Ltbp1
Ace;Ace
Vsig2;Vsig2
Spa17;Spa17
Pnck;Pnck
Ssr4;Ssr4
Cd3g;Cd3g
Unc119;Unc119
Psmc3;Psmc3
Clgn;Clgn
Napsa;Napsa
Rmnd5a;Rmnd5a
Dbf4;Dbf4
Tgm1;Tgm1
Rfx2;Rfx2
Nt5c1b;Nt5c1b
Prpf6;Prpf6
Snrpd1;Snrpd1
Tiam1;Tiam1
Scin;Scin
Pon1;Pon1
Axl;Axl
Tgfb1;Tgfb1
Shh;Shh
Pdcd2l;Pdcd2l
Med6;Med6
Mea1;Mea1
Gnmt;Gnmt
Sfrp4;Sfrp4
Epdr1;Epdr1
Plin4;Plin4
Cd97;Cd97
Lamb1;Lamb1
Apoe;Apoe
Apoc4;Apoc4
Apoc2;Apoc2
Elf3;Elf3
Cyp2c29;Cyp2c29
Lipe;Lipe
Sri;Sri
Grin2c;Grin2c
Car11;Car11
Hck;Hck
Mknk2;Mknk2
Cacnb3;Cacnb3
Myo1g;Myo1g
Ogdh;Ogdh
Fcgrt;Fcgrt
Casq1;Casq1
Inmt;Inmt
Gars;Gars
Tpm4;Tpm4
Psg18;Psg18
Ier3;Ier3
Comp;Comp
Crot;Crot
Calb2;Calb2
Gcdh;Gcdh
Syce2;Syce2
Nqo1;Nqo1
Efnb3;Efnb3
Mmd;Mmd
Fam162a;Fam162a
Gstm5;Gstm5
Gstm3;Gstm3
Hmox2;Hmox2
Col5a3;Col5a3
Ppan;Ppan
Psap;Psap
G6pdx;G6pdx
Phb2;Phb2
Ptpn6;Ptpn6
Eno2;Eno2
Gpx6;Gpx6
Utp20;Utp20
Sst;Sst
Psg17;Psg17
Psg19;Psg19
Ndrg2;Ndrg2
Etfb;Etfb
Cnn2;Cnn2
Tmed11;Tmed11
Mapk13;Mapk13
Lbr;Lbr
Hdgf;Hdgf
Crabp2;Crabp2
Map2k1;Map2k1
Dtx2;Dtx2
Zp3;Zp3
Nfe2l3;Nfe2l3
Prkacb;Prkacb
Cstb;Cstb
Cd44;Cd44
Eif2ak4;Eif2ak4
Ndrg1;Ndrg1
Prdx2;Prdx2
Corin;Corin
Cyp2b10;Cyp2b10
Casp14;Casp14
Slc1a6;Slc1a6
Slc1a3;Slc1a3
Msh6;Msh6
Hmox1;Hmox1
Asf1b;Asf1b
Myl10;Myl10
Msh4;Msh4
Por;Por
Fcer2a;Fcer2a
Atp4a;Atp4a
Trim28;Trim28
Adcy9;Adcy9
Mef2c;Mef2c
Tmod4;Tmod4
Kit;Kit
Apoa2;Apoa2
Pan2;Pan2
Cs;Cs
Ctcf;Ctcf
Cd247;Cd247
Klk1b16;Klk1b16
Sqrdl;Sqrdl
Adh5;Adh5
Pth1r;Pth1r
Cnga2;Cnga2
Reep5;Reep5
Cyp2d26;Cyp2d26
Itgae;Itgae
Tuft1;Tuft1
Rcn1;Rcn1
Dnase1;Dnase1
Tyrp1;Tyrp1
Prg4;Prg4
Lrwd1;Lrwd1
Rhox6;Rhox6
Htra1;Htra1
Atp6v1b2;Atp6v1b2
Aamp;Aamp
Arpc2;Arpc2
Upk1a;Upk1a
Ggt1;Ggt1
Prl7a2;Prl7a2
Prl8a9;Prl8a9
Prtn3;Prtn3
Itih3;Itih3
Itih4;Itih4
Itih1;Itih1
Cryba2;Cryba2
Slc4a1;Slc4a1
Cdt1;Cdt1
Runx1t1;Runx1t1
Aprt;Aprt
Slc17a1;Slc17a1
Aplp1;Aplp1
Qars;Qars
Gmnn;Gmnn
Acot13;Acot13
Pip4k2a;Pip4k2a
Saa4;Saa4
Krt23;Krt23
Sod2;Sod2
Acly;Acly
Eif1b;Eif1b
Klk1b11;Klk1b11
Syngr3;Syngr3
Hspa1l;Hspa1l
Slc44a4;Slc44a4
Abhd16a;Abhd16a
Krt14;Krt14
Krt13;Krt13
Krt31;Krt31
Akr1b7;Akr1b7
