"","GSM456661.CEL.gz","GSM456662.CEL.gz","GSM456663.CEL.gz","GSM456664.CEL.gz","GSM456665.CEL.gz","GSM456667.CEL.gz","GSM456668.CEL.gz","GSM456669.CEL.gz","GSM456670.CEL.gz","GSM456671.CEL.gz","GSM456672.CEL.gz","GSM456673.CEL.gz","GSM456676.CEL.gz","GSM456677.CEL.gz","GSM456678.CEL.gz"
"ENSMUST00000000003",3.97593805773503,4.27975860400523,3.97544469186305,4.39216406566075,4.04120915432542,4.20787867146743,4.57446125754861,4.0854357222394,4.26550667645325,4.25142197031063,4.2333285274973,4.83980376184711,4.14476434779173,3.95095232989722,4.13707680357827
"ENSMUST00000000033",5.36179767653293,5.35115197638862,5.24364078871449,5.49184425452945,5.40604976847531,5.40857171533458,5.40604976847531,5.40604976847531,5.30248668678094,5.40604976847531,5.2770558752136,5.40777872269414,5.63026732869442,5.42994481134545,5.42083144878916
"ENSMUST00000000049",5.65844963472912,5.68747756328176,5.68804048670487,5.78158257408563,5.74445661552409,5.74445661552409,5.72895060676525,5.57146064306061,5.6424613710889,5.87796282668279,5.73499734883898,5.65036072534444,5.69549192206865,5.42615377579072,5.7446356712351
"ENSMUST00000000080",4.86797283780711,4.95156763710605,4.92345248245305,5.04130795257418,4.93697881623413,5.01289449007321,5.02602806267036,4.86745474074865,5.04130795257418,4.91878603632523,5.14856783697086,5.77500897360487,5.53608816726012,5.6357337846338,5.54028887525365
"ENSMUST00000000090",11.6419887393709,11.4577937308901,11.5150788140328,11.013528181087,11.2362183686358,11.3641013492219,11.7248665262945,11.5699973178541,12.0647012847369,12.2925744394069,11.7175192047837,11.6623926593923,12.6965664225915,12.1644250769562,13.0304928245012
"ENSMUST00000000096",5.57655310575333,5.90515024303956,5.98662436943793,5.44923292285853,5.082796415229,5.10382055224219,5.13810948211296,4.94041051687403,4.82909507186393,5.19022270603889,5.27706013407754,5.18457641671814,5.11720905153577,4.93244175313421,5.10419416336466
"ENSMUST00000000109",6.41700494879555,6.43407371869344,6.79685377245285,5.35600463976054,5.78320349503567,5.46140241867393,5.29851602957283,5.34302818683255,4.88120002445607,5.08575889647855,5.05619542345272,4.92093327716114,5.12927884765408,4.8927812122104,5.0973783194571
"ENSMUST00000000122",5.49939921191625,5.44133276725736,5.56001670885463,5.61109491580146,5.68934448478853,5.7035393185302,5.56001670885463,5.58613828398493,5.71566590681525,5.44505252944882,5.42304978933954,5.4661880661705,5.56001670885463,6.03797563911743,5.55636102080662
"ENSMUST00000000145",4.92510606683363,4.82479678666217,4.8818054720537,4.61263573984871,4.50588647105002,4.6361938042824,4.61355249421086,4.45421421517678,4.56300567365586,4.69174703415495,4.75028151878953,7.8568450914509,7.987950985439,7.21941980002376,8.04456432203887
"ENSMUST00000000161",5.0746807068676,5.29898410618641,5.26364356406999,5.72055719974442,5.29898410618641,5.35206773936553,5.29898410618641,5.4498323083143,5.39491603005741,5.2218871293682,5.13893906866796,4.82848502137999,5.20934382770904,5.32476004217558,5.33070927035748
"ENSMUST00000000208",4.32815219978938,4.35358979445169,4.1393028060084,4.08873379191808,4.12346120612398,4.29415755723557,4.20606334801538,4.03401728605572,4.30732414463508,4.3099241393892,4.54431123430346,5.02716823122912,4.63384427491702,4.17226299721311,4.48992303556645
"ENSMUST00000000219",6.58277914315939,6.90093098655612,6.94727315696063,6.512471028587,6.66804982797605,6.26365000987322,5.94416474372422,6.14722980549216,6.02732993345713,5.87626381045771,5.84396121396192,5.89804366091007,5.94050453763182,5.78218151804884,5.76278455995893
"ENSMUST00000000220",6.87785498737301,7.1009346674182,6.95970835053734,6.85047051008143,6.8616581285605,6.80476377569304,6.82929333652964,6.73811653638024,6.64621983829604,6.66985773242754,6.72659198483609,6.7760056742343,6.59206554498861,6.52907015350068,6.75058387466628
"ENSMUST00000000221",5.77886959673717,5.53539838327318,5.74782570573967,5.79627837107904,5.77469697917886,5.80875742731032,5.74782570573967,5.87847590398179,5.62238550723666,5.82482329670064,5.83916418705157,5.74782570573967,5.69541155296648,5.74782570573967,5.48767519964464
"ENSMUST00000000253",5.0229578423082,5.15664479017832,5.30502621454908,5.48278302795993,5.3648375952443,4.31401438792244,4.78018257959249,4.81207224423801,4.69075585576211,4.92472877734238,4.65596783741416,4.69742795598904,4.47646883684704,4.70151317887125,4.4533073619075
"ENSMUST00000000260",6.55949368769105,6.24251480245406,6.34195511795014,5.80329967014847,5.72725760988772,5.67615051210578,5.33857971829877,5.77527828899064,5.50137364933691,6.1134454502222,5.48286141579895,5.37410169412508,5.44936185652412,5.90049550861059,5.49496089359662
"ENSMUST00000000284",4.40335862589643,4.87504360866224,4.16134028391348,6.4219812729731,6.70255573422123,7.1425183006511,7.20244584995555,7.50938286250584,7.78576859172737,7.70749540294466,7.32990774724718,7.42368316952473,8.42901551163195,7.29106303543489,8.47449606279487
"ENSMUST00000000287",8.06982731401368,7.96425649540378,8.11118682440651,8.26462992602539,8.21567233673249,8.4894282250379,8.45223420175316,8.08036308066299,8.53032639265507,8.37095979226416,8.28666636459703,7.88295698334687,8.18948502878835,7.09915451037321,8.19146904951084
"ENSMUST00000000299",5.16192563682213,5.05950772429049,5.27701920048976,5.2049139769694,4.99691810559913,5.41562551997052,5.18303823129061,5.20485274874011,5.16192563682213,5.40095352143053,5.35091758325236,5.06996673825651,4.96190508356532,4.4321608719773,4.97810129715667
"ENSMUST00000000310",6.43062359540828,6.37618839683998,6.5846838754726,6.92764757248265,6.58441503873001,7.33137952043077,7.39374657144918,7.02535975854046,7.8326100059854,7.45419700221879,7.64403685591785,6.14204054755307,6.69084022299466,6.43335535577784,6.56524090048779
"ENSMUST00000000317",4.53844041590588,4.49636010796951,4.55313874919234,4.47235045238566,4.49634427613481,5.04424196971909,5.04316554807588,4.85662730486298,5.50113832234879,5.68673149688599,5.80200474725069,5.91885855622623,6.06791752513934,5.95767279179465,6.12196392771089
"ENSMUST00000000342",4.38932697014369,4.48846458609528,4.63696042614277,4.508029685515,4.4453226883712,3.98871252436431,4.29895596011114,4.0647317150233,4.12980009630498,4.16388150103552,4.27704222425286,4.9097190427232,4.21619047040607,4.46031992162878,4.34447476659792
"ENSMUST00000000384",10.3213279604631,10.2263776163706,10.6281506505411,9.86881842388179,9.95221771469629,10.1586403823832,9.61302798908176,10.5922200479077,8.81284135814771,8.70504513925127,8.92762061963802,8.75011725581337,8.61119417161665,7.47329259662876,8.07821259750083
"ENSMUST00000000395",5.77882031711901,5.65371153947158,5.78095746617072,5.67534872990706,5.74415888039966,5.84929986406213,5.7707535013836,5.93957824132854,5.78450612506605,5.74020991921247,5.80609591515577,7.22485668241182,7.85404952673422,7.27072033423072,8.07226743281747
"ENSMUST00000000402",4.59120874659278,4.48606319083887,4.68143533870007,4.54673895731688,4.04857149862841,4.61561107490677,4.35941965257691,4.6400616813184,4.90179650526331,4.91788609212621,4.42795938863863,4.54546383000817,4.66036207290861,5.2387309638665,4.60353541786966
"ENSMUST00000000421",4.52529189173589,4.54943162885383,4.51196549896518,4.74381788341473,4.57599114844334,4.5457093012844,4.60862176674,4.64873640154416,4.3229841747006,4.14085160176303,4.140590240352,4.60189362102525,4.38290864695957,5.04066195917906,4.45241152463425
"ENSMUST00000000450",5.92538814262018,6.06205932929873,5.99111341757478,4.97040553261637,5.43470087853197,4.79915655055746,4.68141729680399,5.02375383383367,4.95848207470438,4.86403293492569,4.761334770429,4.80225632695068,4.68820530639266,5.60974968375121,4.58069848566993
"ENSMUST00000000466",8.29434137177677,8.27359466965004,8.37548289748339,8.13677476582547,8.20780763529868,8.3558560506236,8.32991811979691,8.11269574178266,8.40910767908677,8.47985947798717,8.40599077420116,8.97703377802196,9.94867479534206,9.21447222817606,10.4319031231529
"ENSMUST00000000573",5.37733138534151,5.22261315634796,5.22260172683918,5.26454399357047,5.18018568570131,5.42901638490557,5.93061958909099,5.53303288983567,5.2659057620606,5.37490703698604,5.3406080509937,5.37490703698604,5.09673387468425,5.68541458053586,5.20432641652326
"ENSMUST00000000590",10.9467863609096,10.8266324286951,10.5506554404313,6.78279070645127,7.47884455518662,7.00778399079124,7.03367254492825,7.34085881615725,6.41750795247567,6.41828337862934,6.60254177521749,7.41219623710408,7.69767915790355,7.1483517558118,7.78945033069699
"ENSMUST00000000608",7.13528164809448,7.52179590980281,7.42899135650423,7.26442881463763,7.35411911899456,7.48850768093456,7.71205035316748,7.18650960364599,8.11401655273132,8.22791344385251,7.92195785889816,8.89203177949517,10.2201412883863,9.14075056356003,9.44938000682695
"ENSMUST00000000642",6.56924412853249,6.49553051229929,6.794042629962,5.99319913791572,5.80097525701134,6.40586416233823,5.66356331272137,6.66707903347062,8.01676190938529,7.94720419159929,8.2057701968079,9.75593652125126,10.0347471445972,9.15870069928539,9.98944049125001
"ENSMUST00000000646",6.50617843017158,6.45166751654824,6.58687894870306,6.50822219509548,6.55697096739007,6.55733373567759,6.4871866287331,6.51131038988392,6.42748738573122,6.50128298465208,6.36477821962532,6.25047241256783,6.54028387095796,6.36523901918304,6.36794376456849
