"TRA_new.ensembl.transcript","TRA_new.gene.symbol"
"ENSMUST00000000003","Pbsn"
"ENSMUST00000000033","Igf2"
"ENSMUST00000000049","Apoh"
"ENSMUST00000000080","Klf6"
"ENSMUST00000000090","Cox5a"
"ENSMUST00000000096","Tbx4"
"ENSMUST00000000109","Cntn1"
"ENSMUST00000000122","Ngfr"
"ENSMUST00000000145","Acsl6"
"ENSMUST00000000161","Itgb2l"
"ENSMUST00000000208","Slfn4"
"ENSMUST00000000219","Th"
"ENSMUST00000000220","Ins2"
"ENSMUST00000000221","Scnn1g"
"ENSMUST00000000253","Lhx2"
"ENSMUST00000000260","Gmpr"
"ENSMUST00000000284","Trim25"
"ENSMUST00000000287","Scpep1"
"ENSMUST00000000299","Itgb2"
"ENSMUST00000000310","Pemt"
"ENSMUST00000000317","Ckmt1"
"ENSMUST00000000342","Ccl11"
"ENSMUST00000000384","Trappc10"
"ENSMUST00000000395","Tmprss2"
"ENSMUST00000000402","Fap"
"ENSMUST00000000421","Tssk3"
"ENSMUST00000000450","Pparg"
"ENSMUST00000000466","Plin2"
"ENSMUST00000000573","Ovgp1"
"ENSMUST00000000590","Rdx"
"ENSMUST00000000608","Gm2a"
"ENSMUST00000000642","Hk2"
"ENSMUST00000000646","Sez6"
"ENSMUST00000000687","Haao"
"ENSMUST00000000718","Tcl1b4"
"ENSMUST00000000746","Dnmt3l"
"ENSMUST00000000804","Ddx3x"
"ENSMUST00000000828","Txnrd3"
"ENSMUST00000000894","E2f1"
"ENSMUST00000000910","Dbh"
"ENSMUST00000000984","Slc7a7"
"ENSMUST00000001046","S100a4"
"ENSMUST00000001047","S100a3"
"ENSMUST00000001049","S100a5"
"ENSMUST00000001055","Icam2"
"ENSMUST00000001083","Nhp2"
"ENSMUST00000001122","Slc13a2"
"ENSMUST00000001126","Slc46a1"
"ENSMUST00000001147","Col6a1"
"ENSMUST00000001148","Pcbp3"
"ENSMUST00000001183","Ftcd"
"ENSMUST00000001187","Anxa4"
"ENSMUST00000001204","Calm1"
"ENSMUST00000001242","D10Jhu81e"
"ENSMUST00000001253","Slc26a4"
"ENSMUST00000001254","Slc26a3"
"ENSMUST00000001452","Cct3"
"ENSMUST00000001497","Cideb"
"ENSMUST00000001513","Tubb6"
"ENSMUST00000001562","Tulp3"
"ENSMUST00000001565","Gtf2h4"
"ENSMUST00000001599","Klhl10"
"ENSMUST00000001713","Gstt1"
"ENSMUST00000001715","Gstt3"
"ENSMUST00000001716","Ddt"
"ENSMUST00000001720","Tat"
"ENSMUST00000001790","Cldn15"
"ENSMUST00000001806","Coasy"
"ENSMUST00000001927","Ltbp1"
"ENSMUST00000001963","Ace"
"ENSMUST00000002008","Vsig2"
"ENSMUST00000002013","Spa17"
"ENSMUST00000002087","Pnck"
"ENSMUST00000002090","Ssr4"
"ENSMUST00000002101","Cd3g"
"ENSMUST00000002127","Unc119"
"ENSMUST00000002171","Psmc3"
"ENSMUST00000002259","Clgn"
"ENSMUST00000002274","Napsa"
"ENSMUST00000002292","Rmnd5a"
"ENSMUST00000002368","Dbf4"
"ENSMUST00000002389","Tgm1"
"ENSMUST00000002444","Rfx2"
"ENSMUST00000002456","Nt5c1b"
