"TRA_new.ensembl.transcript","TRA_new.gene.symbol","TRA_new.max.tissue"
"ENSMUST00000000090","Cox5a","heart"
"ENSMUST00000001242","D10Jhu81e","heart"
"ENSMUST00000006900","Acot13","heart"
"ENSMUST00000008280","Fhl2","heart"
"ENSMUST00000010007","Sdhb","heart"
"ENSMUST00000011934","Ttn","heart"
"ENSMUST00000014080","Myl2","heart"
"ENSMUST00000016396","Atp5e","heart"
"ENSMUST00000020361","Ndufs7","heart"
"ENSMUST00000022062","Sdha","heart"
"ENSMUST00000022980","Ndufb9","heart"
"ENSMUST00000023494","Popdc2","heart"
"ENSMUST00000023608","Atp5j","heart"
"ENSMUST00000023677","Atp5o","heart"
"ENSMUST00000023851","Ndufa5","heart"
"ENSMUST00000023918","Ivns1abp","heart"
"ENSMUST00000024909","Ndufv2","heart"
"ENSMUST00000025718","Ankrd1","heart"
"ENSMUST00000025866","Vldlr","heart"
"ENSMUST00000026196","Got1","heart"
"ENSMUST00000027111","Ndufs1","heart"
"ENSMUST00000027671","Tnnt2","heart"
"ENSMUST00000027810","Fh1","heart"
"ENSMUST00000027853","Mpc2","heart"
"ENSMUST00000029217","Ndufb5","heart"
"ENSMUST00000029454","Casq2","heart"
"ENSMUST00000029761","Myoz2","heart"
"ENSMUST00000029877","Decr1","heart"
"ENSMUST00000031694","Lmod2","heart"
"ENSMUST00000032658","Csrp3","heart"
"ENSMUST00000033049","Cox6a2","heart"
"ENSMUST00000033662","Pdha1","heart"
"ENSMUST00000042497","Ndufv1","heart"
"ENSMUST00000042834","Uqcrfs1","heart"
"ENSMUST00000045602","Ndufb10","heart"
"ENSMUST00000046221","Pln","heart"
"ENSMUST00000049404","Clasp1","heart"
"ENSMUST00000058103","Gm5436","heart"
"ENSMUST00000058906","Chchd10","heart"
"ENSMUST00000064204","Actn2","heart"
"ENSMUST00000066264","Ech1","heart"
"ENSMUST00000075829","Mrpl42","heart"
"ENSMUST00000076657","Ndufa3","heart"
"ENSMUST00000079784","Myl3","heart"
"ENSMUST00000081857","Myh6","heart"
"ENSMUST00000084882","Crip2","heart"
"ENSMUST00000098859","Tnni3","heart"
"ENSMUST00000102486","Hspb7","heart"
"ENSMUST00000102921","Myl7","heart"
"ENSMUST00000103230","Nppa","heart"
"ENSMUST00000103231","Nppb","heart"
"ENSMUST00000107384","Idh2","heart"
"ENSMUST00000111430","Mybpc3","heart"
"ENSMUST00000129222","Art3","heart"
"ENSMUST00000131045","Atp5g3","heart"
"ENSMUST00000161399","Tnnc1","heart"
"ENSMUST00000161741","Atp5j2","heart"
"ENSMUST00000177974","Atp2a2","heart"
